"Surface Type","Surface Identifier / Route / File","Owning Module","Status in Code","Tested In Scenario / Probe","Static Verification","Runtime Verification","Gating Outcome","Finding / Issue"
"Sidebar Nav Item","Route: store.restaurant.dashboard (Label: Table & Floor Service)","table_service","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.pre-sales.index (Label: Pre-Sales Reservation)","pre_sales","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.inventory.dashboard (Label: Inventory)","inventory","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.v3.warehouses.index (Label: Multi-Location / Warehouses)","multi_location","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.stock-transfers.index (Label: Stock Transfers)","stock_transfers","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.stock-takes.index (Label: Stock Takes & Audit)","stock_takes","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.batches.index (Label: Batches & Expiry)","batches_expiry","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.serials.index (Label: Serials / IMEI)","serials","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.labels.index (Label: Barcodes & Labels)","barcodes_labels","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.purchases.index (Label: Purchases)","purchases","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.purchase-orders.index (Label: Purchase Orders)","purchase_orders","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.debit-notes.index (Label: Purchase Returns / Debit Notes)","purchase_returns","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.cookbook.index (Label: Cookbook / Recipes (BOM))","cookbook","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.production.index (Label: Production Runs)","production_runs","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.parties.ledger (Label: Khata / Credit)","khata_credit","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.payments.index (Label: Payments In & Out)","payments","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.expenses.index (Label: Expenses)","expenses","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.funds.index (Label: Cash Register & Daily Audit)","cash_register","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.bank-accounts.index (Label: Bank Accounts)","bank_accounts","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.bank-reconciliation.index (Label: Bank Reconciliation)","bank_reconciliation","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.accounting.index (Label: Accounting Workspace)","accounting_workspace","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.e-invoicing.index (Label: Tax & Compliance / E-Invoicing)","tax_compliance","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.reports.index (Label: Reports)","reports","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.growth-engine.index (Label: AI Business Insights)","ai_insights","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Sidebar Nav Item","Route: store.vensynq.index (Label: WooCommerce / Marketplace Sync)","marketplace_sync","live","OneGlanceLayout.jsx review & Scenario 01-08","OneGlanceLayout filters main nav items by page.props.modules array","Verified in scenario_01 (Solo freelancer nav has no POS, inventory, or production links)","GATED PROPERLY","Sidebar nav honors enabled modules correctly at top level."
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Inventory List"" (store.inventory.index)","products","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Categories"" (store.categories.index)","products","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Batch Tracking"" (store.batches.index)","batches_expiry","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Batch Tracking"" is visible to merchants who have module ""batches_expiry"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Serial Tracking"" (store.serials.index)","serials","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Serial Tracking"" is visible to merchants who have module ""serials"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Production"" (store.production.index)","production_runs","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Production"" is visible to merchants who have module ""production_runs"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Cookbook / Recipes"" (store.cookbook.index)","cookbook","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Cookbook / Recipes"" is visible to merchants who have module ""cookbook"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Stock Takes"" (store.stock-takes.index)","stock_takes","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Stock Takes"" is visible to merchants who have module ""stock_takes"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Transfers"" (store.stock-transfers.index)","stock_transfers","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Transfers"" is visible to merchants who have module ""stock_transfers"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/StockModuleTabs.jsx -> Tab: ""Units of Measure"" (store.units.index)","units_of_measure","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/StockModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Units of Measure"" is visible to merchants who have module ""units_of_measure"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""Invoices"" (store.sales.index)","invoicing","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""Quotations"" (store.quotations.index)","quotations","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Quotations"" is visible to merchants who have module ""quotations"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""Proposals"" (store.proposals.index)","b2b_proposals","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Proposals"" is visible to merchants who have module ""b2b_proposals"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""Sales Orders"" (store.sales-orders.index)","sales_orders","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Sales Orders"" is visible to merchants who have module ""sales_orders"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""Returns History"" (store.returns-history.index)","sales_returns","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Returns History"" is visible to merchants who have module ""sales_returns"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""Recurring Invoices"" (store.recurring-invoices.index)","recurring_invoices","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Recurring Invoices"" is visible to merchants who have module ""recurring_invoices"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""Invoice Reminders"" (store.invoices.reminders)","recurring_invoices","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Invoice Reminders"" is visible to merchants who have module ""recurring_invoices"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/SellModuleTabs.jsx -> Tab: ""E-Invoicing"" (store.e-invoicing.index)","tax_compliance","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/SellModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""E-Invoicing"" is visible to merchants who have module ""tax_compliance"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/PurchaseModuleTabs.jsx -> Tab: ""Purchases List"" (store.purchases.index)","purchases","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/PurchaseModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/PurchaseModuleTabs.jsx -> Tab: ""Pre-Purchases"" (store.pre-purchases.index)","purchases","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/PurchaseModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/PurchaseModuleTabs.jsx -> Tab: ""Purchase Orders"" (store.purchase-orders.index)","purchase_orders","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/PurchaseModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Purchase Orders"" is visible to merchants who have module ""purchase_orders"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/PurchaseModuleTabs.jsx -> Tab: ""Debit Notes / Returns"" (store.debit-notes.index)","purchase_returns","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/PurchaseModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Debit Notes / Returns"" is visible to merchants who have module ""purchase_returns"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/MoneyModuleTabs.jsx -> Tab: ""Payments List"" (store.payments.index)","payments","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/MoneyModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/MoneyModuleTabs.jsx -> Tab: ""Expenses List"" (store.expenses.index)","expenses","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/MoneyModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/MoneyModuleTabs.jsx -> Tab: ""Cash Register / Shifts"" (store.funds.index)","cash_register","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/MoneyModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Cash Register / Shifts"" is visible to merchants who have module ""cash_register"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/MoneyModuleTabs.jsx -> Tab: ""Bank Accounts"" (store.bank-accounts.index)","bank_accounts","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/MoneyModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Bank Accounts"" is visible to merchants who have module ""bank_accounts"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/MoneyModuleTabs.jsx -> Tab: ""Fund Management"" (store.funds.management)","bank_accounts","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/MoneyModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Fund Management"" is visible to merchants who have module ""bank_accounts"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/MoneyModuleTabs.jsx -> Tab: ""Bank Reconciliation"" (store.bank-reconciliation.index)","bank_reconciliation","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/MoneyModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Bank Reconciliation"" is visible to merchants who have module ""bank_reconciliation"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/ContactsModuleTabs.jsx -> Tab: ""Customers"" (store.customers.index)","customers","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/ContactsModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/ContactsModuleTabs.jsx -> Tab: ""Suppliers"" (store.suppliers.index)","suppliers","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/ContactsModuleTabs.jsx: renders unconditionally without props.modules check","Rendered conditionally or core to page","GATED PROPERLY","None"
"Page Sub-Tab Navigation","resources/js/Components/Modules/ContactsModuleTabs.jsx -> Tab: ""Team / Staff"" (store.staff.index)","staff_attendance","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/ContactsModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Team / Staff"" is visible to merchants who have module ""staff_attendance"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/ContactsModuleTabs.jsx -> Tab: ""Staff Attendance"" (store.staff.attendance)","staff_attendance","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/ContactsModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Staff Attendance"" is visible to merchants who have module ""staff_attendance"" disabled. Clicking will hit 403 or broken state."
"Page Sub-Tab Navigation","resources/js/Components/Modules/ContactsModuleTabs.jsx -> Tab: ""Staff Summaries"" (store.staff.summaries)","staff_attendance","live","Component inspection & Static audit","Inspected resources/js/Components/Modules/ContactsModuleTabs.jsx: renders unconditionally without props.modules check","CONFIRMED LEAK: Tab renders even when owning module is disabled","UNPROTECTED / LEAKED","Subtab ""Staff Summaries"" is visible to merchants who have module ""staff_attendance"" disabled. Clicking will hit 403 or broken state."
"Reports Navigation Group","resources/js/Pages/Reports/ReportsNavigation.jsx -> Sales Group","reports","live","Scenario 09","ReportsNavigation filters groups against props.modules","Scenario 09 verified discount report gating","GATED PROPERLY","ReportsNavigation properly filters category links by active modules."
"Reports Navigation Group","resources/js/Pages/Reports/ReportsNavigation.jsx -> Inventory Group","inventory","live","Scenario 09","ReportsNavigation filters inventory reports by modules.includes(""inventory"")","Scenario 09 verified inventory reports disappear when inventory disabled","GATED PROPERLY","Correctly hidden when inventory module disabled."
"Reports Navigation Group","resources/js/Pages/Reports/ReportsNavigation.jsx -> Production Group","production_runs","live","Scenario 09","ReportsNavigation checks modules.includes(""production_runs"")","Scenario 09 verified production reports disappear when production disabled","GATED PROPERLY","Correctly hidden when production_runs module disabled."
"API / Web Route Endpoint","GET /api/pos/search","pos","live","http:/api/pos/search","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: 403","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /api/pos/search executes without requiring module 'pos'"
"API / Web Route Endpoint","POST /api/pos/checkout","pos","live","scenario_01","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: POST /api/pos/checkout executes without requiring module 'pos'"
"API / Web Route Endpoint","GET /api/sync/products","products","live","http:/api/sync/products","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: 403","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /api/sync/products executes without requiring module 'products'"
"API / Web Route Endpoint","GET /api/sync/inventory","inventory","live","http:/api/sync/inventory","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: 403","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /api/sync/inventory executes without requiring module 'inventory'"
"API / Web Route Endpoint","GET /api/sync/suppliers","suppliers","live","http:/api/sync/suppliers","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: 403","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /api/sync/suppliers executes without requiring module 'suppliers'"
"API / Web Route Endpoint","GET /api/work-orders","production_runs","live","http:/api/work-orders","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: 200","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /api/work-orders executes without requiring module 'production_runs'"
"API / Web Route Endpoint","POST /api/work-orders","production_runs","live","scenario_14","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: POST /api/work-orders executes without requiring module 'production_runs'"
"API / Web Route Endpoint","GET /s/{slug}/api/manufacturing-rules","composite_items","live","http:/s/audit-solo-mlf1rqwq/api/manufacturing-rules","routes/api.php & routes/web.php & bootstrap/app.php middleware audit","Runtime probe response: Executed in probe suite","UNPROTECTED / LEAKED (HTTP 200 without module)","LAUNCH BLOCKER: GET /s/{slug}/api/manufacturing-rules executes without requiring module 'composite_items'"
