"Module Key","Module ID","Group","Status","User Need","Question / Discovery Path","Capability Mapping","Preset Origin","Proposal Explanation","Saved Config (tenant_modules)","Dependencies (requires/requires_one)","Backend Read/Write Gates","UI Surfaces / Tabs","Dashboard Cards","Terminology Keys","Off/On Verified","Evidence","Verdict"
"b2b_proposals","11","B","live","Build detailed multi-item business proposals and convert the winners.","quotations_and_orders: ""Do you send a price first and only start the work once they agree to it?""","quotations_and_orders","None (Optional/Addon)","Targeted to: Wholesale, agencies, tender-driven trade, project supply.","tenant_modules row: tenant_id, module_key='b2b_proposals', is_enabled=1/0, created_at, updated_at","requires_one: [products,services]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Proposals/ProposalsList.jsx; Nav: store.proposals.index | LEAK: Hardcoded in SellModuleTabs.jsx (renders tabs regardless of module status)","None","quotation","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"pricing_tiers","12","B","live","Different prices for different customers — wholesale, retail, staff.","trade_pricing: ""Does anyone buy from you in bulk, or at a price you agreed with them?""","trade_pricing","None (Optional/Addon)","Targeted to: Wholesalers who also sell retail — the most common Pakistani shop shape there is.","tenant_modules row: tenant_id, module_key='pricing_tiers', is_enabled=1/0, created_at, updated_at","requires_one: [products,services]","Web routes mapped in config/modules.php; API routes ungated across entire application.","V3/","None","None","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"park_recall","13","B","live","Hold an unfinished bill and come back to it — a table, a job, a waiting customer.","table_and_kot_management: ""Do people sit down and eat in, with their orders going through to your kitchen?""","table_and_kot_management","None (Optional/Addon)","Targeted to: THE SPLIT THAT PAYS: restaurants (tables), workshops (job queue), retail (hold bill). One built feature, three business types, honest presets for each.","tenant_modules row: tenant_id, module_key='park_recall', is_enabled=1/0, created_at, updated_at","requires: [pos]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Sales/ParkedSales.jsx","None","occupancy, position","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"table_service","14","B","live","Floor plan, table status and kitchen tickets for dine-in service.","table_and_kot_management: ""Do people sit down and eat in, with their orders going through to your kitchen?"" (BUG: Dropped)","BROKEN: Implies 'tables' instead of 'table_service'. CapabilityRegistry implies ['tables', 'kitchen_display', 'pos'], but config/modules defines 'table_service'. Filtered out by array_intersect($modules, $liveRegistry)!","None (Optional/Addon)","Targeted to: Restaurants, cafes, dhabas, dine-in of any kind.","tenant_modules row: tenant_id, module_key='table_service', is_enabled=1/0, created_at, updated_at","requires: [pos, park_recall]","DEFECT: Route /s/{slug}/tables/state (store.tables.state) is ungated (returns 200 without table_service). API ungated.","Restaurant/Dashboard.jsx; Restaurant/Kitchen.jsx; Nav: store.restaurant.dashboard","None","position, occupancy","verified-fail","http-probes.json: GET /s/{slug}/tables/state returns HTTP 200 on solo tenant; Capability table_and_kot_management drops tables/kitchen_display","FAIL (Web Leak & Discovery Drop)"
"pre_sales","15","B","live","Reserve stock against a future sale so it cannot be sold twice.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Electronics, appliances, vehicles, anything with a deposit and a wait.","tenant_modules row: tenant_id, module_key='pre_sales', is_enabled=1/0, created_at, updated_at","requires: [products, inventory]","Web routes mapped in config/modules.php; API routes ungated across entire application.","PreSales/; Sales/CreatePreSale.jsx; Nav: store.pre-sales.index","None","order","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"inventory","16","C","live","See and manage stock levels, movements and value.","spare_parts_and_labour: ""When a job is done, do you charge for parts and for your time as separate things?"" | stock_volume: ""How much stock do you have to keep track of?"" | multi_branch_warehouses: ""Do you work out of more than one shop, branch or storeroom?"" | batch_expiry_tracking: ""Do the things you sell have expiry dates or batch numbers you need to keep an eye on?"" | supplier_purchasing: ""Do you buy from suppliers, and do you want their bills and your reordering kept track of?"" | serial_imei_tracking: ""Do you need to record a serial or IMEI number for each individual item you buy and sell?"" | product_variants: ""Do your items come in different sizes or colours that you need to count separately?"" | recipe_and_bom: ""Do you make what you sell out of raw materials or ingredients?""","spare_parts_and_labour, stock_volume, multi_branch_warehouses, batch_expiry_tracking, supplier_purchasing, serial_imei_tracking, product_variants, recipe_and_bom","grocery, pharmacy, mobile_electronics, clothing, hardware_store, wholesale, multi_branch_retail, light_manufacturing","Targeted to: Every business that holds stock. NOT required by POS — that is deliberate.","tenant_modules row: tenant_id, module_key='inventory', is_enabled=1/0, created_at, updated_at","requires: [products]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Inventory/StockLevels.jsx; Inventory/Dashboard.jsx; StockOperations.jsx; Nav: store.inventory.dashboard","low_stock, inventory_value","stock","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"multi_location","17","C","live","Run more than one shop, branch, godown or storage location.","multi_branch_warehouses: ""Do you work out of more than one shop, branch or storeroom?"" (BUG: Dropped)","BROKEN: Implies 'branches' instead of 'multi_location'. CapabilityRegistry implies ['branches', 'stock_transfers', 'inventory'], but config/modules defines 'multi_location'. Filtered out by array_intersect($modules, $liveRegistry)!","multi_branch_retail","Targeted to: Chains, franchises, a shop plus a godown.","tenant_modules row: tenant_id, module_key='multi_location', is_enabled=1/0, created_at, updated_at","requires: [inventory]","Web routes mapped in config/modules.php; API routes ungated across entire application.","V3/Warehouses/Index.jsx; V3/Warehouses/Create.jsx; V3/Warehouses/Edit.jsx; Nav: store.v3.warehouses.index","None","location","verified-fail","CapabilityRegistry drops phantom key in resolveModules(); StockModuleTabs/SellModuleTabs renders tab unconditionally","FAIL (Discovery Drop & Subtab Leak)"
"stock_transfers","18","C","live","Move stock between locations with a paper trail on both sides.","multi_branch_warehouses: ""Do you work out of more than one shop, branch or storeroom?""","multi_branch_warehouses","None (Optional/Addon)","Targeted to: Anyone with two locations and stock that moves between them.","tenant_modules row: tenant_id, module_key='stock_transfers', is_enabled=1/0, created_at, updated_at","requires: [inventory, multi_location]","Web routes mapped in config/modules.php; API routes ungated across entire application.","StockTransfers/; Nav: store.stock-transfers.index | LEAK: Hardcoded in StockModuleTabs.jsx (renders tabs regardless of module status)","None","stock, location","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"stock_takes","19","C","live","Count what is physically there and reconcile it against the books.","stock_volume: ""How much stock do you have to keep track of?""","stock_volume","None (Optional/Addon)","Targeted to: Grocery, pharmacy, hardware — anywhere shrinkage is real.","tenant_modules row: tenant_id, module_key='stock_takes', is_enabled=1/0, created_at, updated_at","requires: [inventory]","Web routes mapped in config/modules.php; API routes ungated across entire application.","StockTake/; Nav: store.stock-takes.index | LEAK: Hardcoded in StockModuleTabs.jsx (renders tabs regardless of module status)","None","stock","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"batches_expiry","20","C","live","Track batch numbers and expiry dates, and get warned before stock dies.","batch_expiry_tracking: ""Do the things you sell have expiry dates or batch numbers you need to keep an eye on?""","batch_expiry_tracking","None (Optional/Addon)","Targeted to: Pharmacy, food, dairy, cosmetics, chemicals — anything with a date on it.","tenant_modules row: tenant_id, module_key='batches_expiry', is_enabled=1/0, created_at, updated_at","requires: [inventory]","Web routes mapped in config/modules.php; API routes ungated across entire application.","BatchTracking/; Nav: store.batches.index | LEAK: Hardcoded in StockModuleTabs.jsx (renders tabs regardless of module status)","None","stock","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"serials","21","C","live","Track individual units by serial or IMEI, from intake to warranty.","serial_imei_tracking: ""Do you need to record a serial or IMEI number for each individual item you buy and sell?"" (BUG: Dropped)","BROKEN: Implies 'serial_numbers' instead of 'serials'. CapabilityRegistry implies ['serial_numbers', 'inventory'], but config/modules defines 'serials'. Filtered out by array_intersect($modules, $liveRegistry)!","None (Optional/Addon)","Targeted to: Mobile shops, electronics, appliances, vehicles.","tenant_modules row: tenant_id, module_key='serials', is_enabled=1/0, created_at, updated_at","requires: [inventory]","Web routes mapped in config/modules.php; API routes ungated across entire application.","SerialTracking/; Nav: store.serials.index | LEAK: Hardcoded in StockModuleTabs.jsx (renders tabs regardless of module status)","None","product","verified-fail","CapabilityRegistry drops phantom key in resolveModules(); StockModuleTabs/SellModuleTabs renders tab unconditionally","FAIL (Discovery Drop & Subtab Leak)"
"variants","22","C","live","Size, colour and other variations of the same product.","product_variants: ""Do your items come in different sizes or colours that you need to count separately?""","product_variants","None (Optional/Addon)","Targeted to: Clothing, footwear, hardware, anything sold in sizes.","tenant_modules row: tenant_id, module_key='variants', is_enabled=1/0, created_at, updated_at","requires: [products]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Inventory/Variants; Inventory/Attributes","None","product","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"barcodes_labels","23","C","live","Generate and print barcode labels, price tags and shelf edges.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Grocery, retail, pharmacy, warehouse.","tenant_modules row: tenant_id, module_key='barcodes_labels', is_enabled=1/0, created_at, updated_at","requires: [products]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Labels/; Nav: store.labels.index","None","product","verified-fail","Missing completely from CapabilityRegistry (no barcode discovery question exists)","FAIL (Discovery Architecture Gap)"
"units_of_measure","24","C","live","Buy in cartons, sell in pieces — conversions handled for you.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Grocery, wholesale, agriculture, chemicals, anything sold by weight.","tenant_modules row: tenant_id, module_key='units_of_measure', is_enabled=1/0, created_at, updated_at","requires: [products]","Web routes mapped in config/modules.php; API routes ungated across entire application.","V3/ | LEAK: Hardcoded in StockModuleTabs.jsx (renders tabs regardless of module status)","None","None","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"purchases","25","D","live","Record what you buy, what it cost, and what you still owe.","supplier_purchasing: ""Do you buy from suppliers, and do you want their bills and your reordering kept track of?""","supplier_purchasing","None (Optional/Addon)","Targeted to: Every business that buys stock rather than making it.","tenant_modules row: tenant_id, module_key='purchases', is_enabled=1/0, created_at, updated_at","requires: [products]","Web routes mapped in config/modules.php; API routes ungated across entire application.","V3/Purchases; Nav: store.purchases.index","recent_purchases, payables","purchase","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"purchase_orders","26","D","live","Raise an order to a supplier and receive against it, partially or in full.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Wholesale, distribution, anyone with lead times.","tenant_modules row: tenant_id, module_key='purchase_orders', is_enabled=1/0, created_at, updated_at","requires: [purchases, suppliers]","Web routes mapped in config/modules.php; API routes ungated across entire application.","PurchaseOrders/; Nav: store.purchase-orders.index | LEAK: Hardcoded in PurchaseModuleTabs.jsx (renders tabs regardless of module status)","None","order","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"purchase_returns","27","D","live","Send goods back to a supplier and adjust what you owe them.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Any business with a supplier who sometimes ships the wrong thing.","tenant_modules row: tenant_id, module_key='purchase_returns', is_enabled=1/0, created_at, updated_at","requires: [purchases]","Web routes mapped in config/modules.php; API routes ungated across entire application.","DebitNotes/; Nav: store.debit-notes.index | LEAK: Hardcoded in PurchaseModuleTabs.jsx (renders tabs regardless of module status)","None","return","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"landed_cost","28","D","beta","Spread freight, duty and clearing costs across the items you imported.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Importers, distributors, anyone paying duty.","tenant_modules row: tenant_id, module_key='landed_cost', is_enabled=1/0, created_at, updated_at","requires: [purchases]","Web routes mapped in config/modules.php; API routes ungated across entire application.","","None","purchase","static-only","Module status in config/modules.php is 'beta'. Excluded from live tenant provisioning.","BLOCKED (BETA)"
"cookbook","29","E","live","Define what your made items are composed of, and what they cost.","recipe_and_bom: ""Do you make what you sell out of raw materials or ingredients?""","recipe_and_bom","None (Optional/Addon)","Targeted to: Bakeries, cafes, restaurants, factories, workshops, pharmacies compounding.","tenant_modules row: tenant_id, module_key='cookbook', is_enabled=1/0, created_at, updated_at","requires: [products, inventory]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Cookbook/RecipesList.jsx; Cookbook/Create.jsx; Nav: store.cookbook.index | LEAK: Hardcoded in StockModuleTabs.jsx (renders tabs regardless of module status)","None","None","verified-fail","http-probes.json: GET /api/work-orders returns HTTP 200 on solo tenant; GET /s/{slug}/api/manufacturing-rules returns HTTP 200; StockModuleTabs renders Production tab unconditionally","FAIL (API Leak & Subtab Leak)"
"production_runs","30","E","live","Run a batch: consume the ingredients, produce the finished goods.","recipe_and_bom: ""Do you make what you sell out of raw materials or ingredients?""","recipe_and_bom","light_manufacturing","Targeted to: Bakeries, food manufacturing, assembly workshops, small factories.","tenant_modules row: tenant_id, module_key='production_runs', is_enabled=1/0, created_at, updated_at","requires: [cookbook]","DEFECT: Route /s/{slug}/api/manufacturing-rules is ungated (returns 200 without composite_items). API /api/work-orders ungated.","Manufacturing/; Inventory/Production; Nav: store.production.index | LEAK: Hardcoded in StockModuleTabs.jsx (renders tabs regardless of module status)","production_output","product","verified-fail","http-probes.json: GET /api/work-orders returns HTTP 200 on solo tenant; GET /s/{slug}/api/manufacturing-rules returns HTTP 200; StockModuleTabs renders Production tab unconditionally","FAIL (API Leak & Subtab Leak)"
"composite_items","31","E","beta","Sell a made item and have its ingredients come out of stock automatically.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Cafes selling meals, shops selling gift bundles, workshops selling kits.","tenant_modules row: tenant_id, module_key='composite_items', is_enabled=1/0, created_at, updated_at","requires: [cookbook]","DEFECT: Route /s/{slug}/api/manufacturing-rules is ungated (returns 200 without composite_items). API /api/work-orders ungated.","Manufacturing/Rules.jsx","None","None","verified-fail","http-probes.json: GET /api/work-orders returns HTTP 200 on solo tenant; GET /s/{slug}/api/manufacturing-rules returns HTTP 200; StockModuleTabs renders Production tab unconditionally","FAIL (API Leak & Subtab Leak)"
"khata_credit","32","F","live","Let people buy now and pay later, and always know who owes what.","customer_khata_credit: ""Do any of your customers take things now and pay you later?"" (BUG: Dropped)","BROKEN: Implies 'credit_sales' instead of 'khata_credit'. CapabilityRegistry implies ['credit_sales', 'customers', 'sales_orders'], but config/modules defines 'khata_credit'. Filtered out by array_intersect($modules, $liveRegistry)!","None (Optional/Addon)","Targeted to: THE Pakistani retail shape. No global competitor understands khata; you do.","tenant_modules row: tenant_id, module_key='khata_credit', is_enabled=1/0, created_at, updated_at","requires_one: [customers,suppliers]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Parties/Ledger.jsx; Nav: store.parties.ledger","receivables","customer, supplier","verified-fail","CapabilityRegistry drops phantom key in resolveModules(); StockModuleTabs/SellModuleTabs renders tab unconditionally","FAIL (Discovery Drop & Subtab Leak)"
"payments","33","F","live","Receive and send money, split across accounts, allocated to the right bills.","None - Not mapped to any capability in CapabilityRegistry","None","field_service","Targeted to: Every business. Nearly always enabled — but still a module, because a cash-only counter does not need the screen.","tenant_modules row: tenant_id, module_key='payments', is_enabled=1/0, created_at, updated_at","requires_one: [customers,suppliers]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Payments/; Nav: store.payments.index","cash_position","payment","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"expenses","34","F","live","Record what you spend, with receipts, by category.","spare_parts_and_labour: ""When a job is done, do you charge for parts and for your time as separate things?""","spare_parts_and_labour","retail_shop, grocery, pharmacy, cafe, restaurant, bakery, mobile_electronics, clothing, hardware_store, wholesale, multi_branch_retail, freelancer, salon, repair_workshop, field_service, professional_services, membership_studio, rental_hire, food_counter, catering, light_manufacturing, tailoring","Targeted to: Literally every business. The most universally useful module in the file.","tenant_modules row: tenant_id, module_key='expenses', is_enabled=1/0, created_at, updated_at","None","Web routes mapped in config/modules.php; API routes ungated across entire application.","Expenses/; Nav: store.expenses.index","expenses","expense","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"cash_register","35","F","live","Open and close the drawer, count the cash, find the difference.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Any counter with a cash drawer and more than one person behind it.","tenant_modules row: tenant_id, module_key='cash_register', is_enabled=1/0, created_at, updated_at","requires: [pos]","Web routes mapped in config/modules.php; API routes ungated across entire application.","Funds/; Nav: store.funds.index | LEAK: Hardcoded in MoneyModuleTabs.jsx (renders tabs regardless of module status)","cash_position","shift","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"bank_accounts","36","F","live","Track bank balances and money moving between accounts.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Any business banking money rather than keeping it in the drawer.","tenant_modules row: tenant_id, module_key='bank_accounts', is_enabled=1/0, created_at, updated_at","None","Web routes mapped in config/modules.php; API routes ungated across entire application.","BankAccounts/; Nav: store.bank-accounts.index | LEAK: Hardcoded in MoneyModuleTabs.jsx (renders tabs regardless of module status)","cash_position","payment","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
"bank_reconciliation","37","F","live","Match your bank statement against your books, line by line.","None - Not mapped to any capability in CapabilityRegistry","None","None (Optional/Addon)","Targeted to: Businesses with real bank volume; accountants.","tenant_modules row: tenant_id, module_key='bank_reconciliation', is_enabled=1/0, created_at, updated_at","requires: [bank_accounts]","Web routes mapped in config/modules.php; API routes ungated across entire application.","BankReconciliation/; Nav: store.bank-reconciliation.index | LEAK: Hardcoded in MoneyModuleTabs.jsx (renders tabs regardless of module status)","None","report","verified-pass","Scenario runtime test suite (amd_pos_test); Middleware EnsureModule verified on primary web resource route","PASS (With subtab/API leakage caveat)"
